# P id_piece id_forme_nord id_forme_est id_forme_sud id_forme_ouest
P 1 1 1 2 2
P 2 1 1 2 3
P 3 1 1 2 4
P 4 1 1 2 5
P 5 1 1 3 2
P 6 1 1 3 3
P 7 1 1 3 4
P 8 1 1 3 5
P 9 1 1 4 2
P 10 1 1 4 3
P 11 1 1 4 4
P 12 1 1 4 5
P 13 1 1 5 2
P 14 1 1 5 3
P 15 1 1 5 4
P 16 1 1 5 5
P 17 1 2 2 2
P 18 1 2 2 3
P 19 1 2 2 4
P 20 1 2 2 5
P 21 1 2 3 2
P 22 1 2 3 3
P 23 1 2 3 4
P 24 1 2 3 5
P 25 1 2 4 2
P 26 1 2 4 3
P 27 1 2 4 4
P 28 1 2 4 5
P 29 1 2 5 2
P 30 1 2 5 3
P 31 1 2 5 4
P 32 1 2 5 5
P 33 1 3 2 2
P 34 1 3 2 3
P 35 1 3 2 4
P 36 1 3 2 5
P 37 1 3 3 2
P 38 1 3 3 3
P 39 1 3 3 4
P 40 1 3 3 5
P 41 1 3 4 2
P 42 1 3 4 3
P 43 1 3 4 4
P 44 1 3 4 5
P 45 1 3 5 2
P 46 1 3 5 3
P 47 1 3 5 4
P 48 1 3 5 5
P 49 1 4 2 2
P 50 1 4 2 3
P 51 1 4 2 4
P 52 1 4 2 5
P 53 1 4 3 2
P 54 1 4 3 3
P 55 1 4 3 4
P 56 1 4 3 5
P 57 1 4 4 2
P 58 1 4 4 3
P 59 1 4 4 4
P 60 1 4 4 5
P 61 1 4 5 2
P 62 1 4 5 3
P 63 1 4 5 4
P 64 1 4 5 5
P 65 1 5 2 2
P 66 1 5 2 3
P 67 1 5 2 4
P 68 1 5 2 5
P 69 1 5 3 2
P 70 1 5 3 3
P 71 1 5 3 4
P 72 1 5 3 5
P 73 1 5 4 2
P 74 1 5 4 3
P 75 1 5 4 4
P 76 1 5 4 5
P 77 1 5 5 2
P 78 1 5 5 3
P 79 1 5 5 4
P 80 1 5 5 5
P 81 2 2 2 2
P 82 2 2 2 3
P 83 2 2 2 4
P 84 2 2 2 5
P 85 2 2 3 3
P 86 2 2 3 4
P 87 2 2 3 5
P 88 2 2 4 3
P 89 2 2 4 4
P 90 2 2 4 5
P 91 2 2 5 3
P 92 2 2 5 4
P 93 2 2 5 5
P 94 2 3 2 3
P 95 2 3 2 4
P 96 2 3 2 5
P 97 2 3 3 3
P 98 2 3 3 4
P 99 2 3 3 5
P 100 2 3 4 3
P 101 2 3 4 4
P 102 2 3 4 5
P 103 2 3 5 3
P 104 2 3 5 4
P 105 2 3 5 5
P 106 2 4 2 4
P 107 2 4 2 5
P 108 2 4 3 3
P 109 2 4 3 4
P 110 2 4 3 5
P 111 2 4 4 3
P 112 2 4 4 4
P 113 2 4 4 5
P 114 2 4 5 3
P 115 2 4 5 4
P 116 2 4 5 5
P 117 2 5 2 5
P 118 2 5 3 3
P 119 2 5 3 4
P 120 2 5 3 5
P 121 2 5 4 3
P 122 2 5 4 4
P 123 2 5 4 5
P 124 2 5 5 3
P 125 2 5 5 4
P 126 2 5 5 5
P 127 3 3 3 3
P 128 3 3 3 4
P 129 3 3 3 5
P 130 3 3 4 4
P 131 3 3 4 5
P 132 3 3 5 4
P 133 3 3 5 5
P 134 3 4 3 4
P 135 3 4 3 5
P 136 3 4 4 4
P 137 3 4 4 5
P 138 3 4 5 4
P 139 3 4 5 5
P 140 3 5 3 5
P 141 3 5 4 4
P 142 3 5 4 5
P 143 3 5 5 4
P 144 3 5 5 5
P 145 4 4 4 4
P 146 4 4 4 5
P 147 4 4 5 5
P 148 4 5 4 5
P 149 4 5 5 5
P 150 5 5 5 5
